Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item,Claim Amount,Status,Close Amount,Disposition,Day Differences,Amount Differences,month,month_name
2006101013808,2006-10-03 00:00:00,2006-09-21 00:00:00,SAN,San Diego International,Alaska Airlines,Passenger Property Loss,Checked Baggage,Computer - Laptop; Video Recordings (blank & commercial),1200.0,Denied,0.0,Deny,12.0,1200.0,9.0,September
2007061126701,2007-06-07 00:00:00,2007-04-16 00:00:00,JFK,John F. Kennedy International,American Airlines,Passenger Property Loss,Checked Baggage,Computer - Laptop,1726.99,Denied,0.0,Deny,52.0,1726.99,4.0,April
2009111765441,2009-12-11 00:00:00,2009-10-28 10:13:00,DEN,Denver International Airport,Frontier Airlines,Passenger Property Loss,Checked Baggage,Decorations - Christmas; Birthday; etc.; Medicines; Other,1280.0,Denied,0.0,Deny,43.0,1280.0,10.0,October
2009051958919,2009-05-04 00:00:00,2009-04-13 00:00:00,BOS,Boston (Logan) International Airport,Jet Blue,Passenger Property Loss,Checkpoint,Jewelry - Fine,2950.0,Denied,0.0,Deny,21.0,2950.0,4.0,April
2009031056027,2009-02-13 00:00:00,2008-12-11 00:00:00,JFK,John F. Kennedy International,Jet Blue,Passenger Property Loss,Checked Baggage,Cameras - Digital; Jewelry - Fine,1225.47,Denied,0.0,Deny,64.0,1225.47,12.0,December
2007082931110,2007-08-27 00:00:00,2007-07-07 00:00:00,ANC,Ted Stevens Anchorage International Airport,UAL,Property Damage,Checked Baggage,Computer - Laptop,1500.0,Denied,0.0,Deny,51.0,1500.0,7.0,July
2009071061080,2009-07-02 00:00:00,2009-06-22 00:00:00,FLL,Ft. Lauderdale-Hollywood International,American Airlines,Passenger Property Loss,Checked Baggage,Cameras - Non-electronic (Camera supplies; lenses; projectors; etc.),1300.0,Denied,0.0,Deny,10.0,1300.0,6.0,June
2008030540473,2008-02-25 00:00:00,2007-12-22 00:00:00,OAK,Metropolitan Oakland International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.; Jewelry - Costume; MP3 Players-(iPods; etc),975.73,Denied,0.0,Deny,65.0,975.73,12.0,December
2009071061070,2009-07-02 00:00:00,2009-06-27 00:00:00,HNL,Honolulu International Airport,UAL,Property Damage,Checked Baggage,Professional Equipment,1250.0,Denied,0.0,Deny,5.0,1250.0,6.0,June
0625248M,2003-06-25 00:00:00,2003-05-28 00:00:00,LAX,Los Angeles International Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,1571.08,Denied,0.0,Deny,28.0,1571.08,5.0,May
